country_name,common_name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Austria-Hungary,Austria-Hungary
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Botswana,Botswana
Brazil,Brazil
Bulgaria,Bulgaria
Burundi,Burundi
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czechoslovakia,Czechoslovakia
Denmark,Denmark
Djibouti,Djibouti
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
German Democratic Republic,German Democratic Republic
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kuwait,Kuwait
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Orange Free State,Orange Free State
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Rwanda,Rwanda
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sudan,Sudan
Sweden,Sweden
Switzerland,Switzerland
Taiwan,Taiwan
Tajikistan,Tajikistan
Thailand,Thailand
Tibet,Tibet
Togo,Togo
Transvaal,Transvaal
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States of America,United States of America
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Yugoslavia,Yugoslavia
Zambia,Zambia
Zanzibar,Zanzibar
Belarus (Byelorussia),Belarus
Bosnia-Herzegovina,Bosnia and Herzegovina
Brunei,Brunei Darussalam
Burkina Faso (Upper Volta),Burkina Faso
Cambodia (Kampuchea),Cambodia
Cape Verde,Cabo Verde
"Congo, Democratic Republic of (Zaire)",Democratic Republic of the Congo
Cote D'Ivoire,Côte d'Ivoire
Czech Republic,Czechia
East Timor,Timor-Leste
German Federal Republic,Federal Republic of Germany
Germany (Prussia),Germany
Iran (Persia),Iran
Italy/Sardinia,Italy
Korea,Korea (old)
"Korea, People's Republic of",North Korea
"Korea, Republic of",South Korea
Kosovo,Kosovo
Kyrgyz Republic,Kyrgyzstan
Laos,Laos
Macedonia (FYROM/North Macedonia),North Macedonia
Madagascar (Malagasy),Madagascar
Moldova,Moldova
Myanmar (Burma),Myanmar
Rumania,Romania
Russia (Soviet Union),USSR
Sri Lanka (Ceylon),Sri Lanka
Surinam,Suriname
Swaziland (Eswatini),Eswatini
Syria,Syrian Arab Republic
Tanzania (Tanganyika),Tanzania
Turkey (Ottoman Empire),Türkiye
Vietnam (Annam/Cochin China/Tonkin),Vietnam
"Vietnam, Democratic Republic of",North Vietnam
"Vietnam, Republic of",South Vietnam
Yemen (Arab Republic of Yemen),North Yemen
"Yemen, People's Republic of",South Yemen
Zimbabwe (Rhodesia),Zimbabwe
